"person_id","point_id","geom","timestamp","exh_id","distance_from_centroid","row_number"
67,660,"0101000020BB0B0000BCAFCC7241300D40211C3325A6B52040","2021-12-13 12:09:33.278",10,0.45387699860393943,1
67,661,"0101000020BB0B0000AC6B5CB380230D40DEB9E26719AB2040","2021-12-13 12:09:33.349",10,0.45026614034752394,2
67,662,"0101000020BB0B00006E6D9F8E17C50C409ED265D273992040","2021-12-13 12:09:33.421",10,0.48006253936085114,3
67,663,"0101000020BB0B00003A124A4B6D830C40D9ACB9D1727D2040","2021-12-13 12:09:33.528",10,0.49642216804975164,4
67,664,"0101000020BB0B0000893A78CF31900C40D0839EA1CD862040","2021-12-13 12:09:33.599",10,0.49444723212268704,5
67,665,"0101000020BB0B00006FE937486DBE0C404728036EF29B2040","2021-12-13 12:09:33.67",10,0.48474214131545623,6
67,666,"0101000020BB0B00004A9BD8823C9C0C4069529BE06D922040","2021-12-13 12:09:33.777",10,0.49482438456707134,7
67,667,"0101000020BB0B00005460DB2FEF8F0C40A8CDBE0E4D992040","2021-12-13 12:09:33.849",10,0.5045758991789872,8
67,668,"0101000020BB0B00002CDF2C7D148D0C4068B1B0A19DAD2040","2021-12-13 12:09:33.92",10,0.519540700081982,9
67,669,"0101000020BB0B000003FC388500A00C40A0AFB86DBEB82040","2021-12-13 12:09:34.028",10,0.5197249784740372,10
67,670,"0101000020BB0B0000A940B99BAF810C402903728DA2942040","2021-12-13 12:09:34.099",10,0.508480441750201,11
67,671,"0101000020BB0B00009486C8D456800C40F43A42586B8E2040","2021-12-13 12:09:34.17",10,0.505730919455806,12
67,672,"0101000020BB0B000020535B8075440C409F365E7C1D782040","2021-12-13 12:09:34.278",9,0.47239322633179603,13
67,673,"0101000020BB0B00003387BBC331250C4076D7D155F0702040","2021-12-13 12:09:34.349",9,0.4548272087455603,14
67,674,"0101000020BB0B0000525882960A1A0C40B84C1C9089732040","2021-12-13 12:09:34.42",9,0.4503659775077972,15
